name,asciiname,country,geonameid
Sunbury,Sunbury,Australia,2147914
Strathfield,Strathfield,Australia,2148088
Springvale,Springvale,Australia,2148591
South Yarra,South Yarra,Australia,2148876
Southport,Southport,Australia,2148928
Shepparton,Shepparton,Australia,2149645
Seven Hills,Seven Hills,Australia,2149847
Seaford,Seaford,Australia,2149975
Saint Kilda,Saint Kilda,Australia,2150660
Saint Ives,Saint Ives,Australia,2150669
Saint Albans,Saint Albans,Australia,2150717
Ryde,Ryde,Australia,2150767
Rowville,Rowville,Australia,2150894
Rockhampton,Rockhampton,Australia,2151437
Rockdale,Rockdale,Australia,2151443
Ringwood,Ringwood,Australia,2151576
Richmond,Richmond,Australia,2151649
Reservoir,Reservoir,Australia,2151716
Quakers Hill,Quakers Hill,Australia,2152329
Preston,Preston,Australia,2152558
Port Melbourne,Port Melbourne,Australia,2152658
Port Macquarie,Port Macquarie,Australia,2152659
Point Cook,Point Cook,Australia,2152819
Pascoe Vale,Pascoe Vale,Australia,2153720
Palm Beach,Palm Beach,Australia,2153925
Pakenham,Pakenham,Australia,2153953
Orange,Orange,Australia,2154219
Officer,Officer,Australia,2154481
North Melbourne,North Melbourne,Australia,2154912
Northcote,Northcote,Australia,2155001
Noble Park,Noble Park,Australia,2155204
Newcastle,Newcastle,Australia,2155472
Nerang,Nerang,Australia,2155542
Narre Warren,Narre Warren,Australia,2155718
Narangba,Narangba,Australia,2155787
Mulgrave,Mulgrave,Australia,2156340
Mount Waverley,Mount Waverley,Australia,2156492
Mount Martha,Mount Martha,Australia,2156578
Mount Gambier,Mount Gambier,Australia,2156643
Mount Eliza,Mount Eliza,Australia,2156663
Mount Druitt,Mount Druitt,Australia,2156671
Mosman,Mosman,Australia,2156813
Mornington,Mornington,Australia,2156878
Morayfield,Morayfield,Australia,2156934
South Morang,South Morang,Australia,2156942
Mooroolbark,Mooroolbark,Australia,2156977
Moonee Ponds,Moonee Ponds,Australia,2157056
Mitcham,Mitcham,Australia,2157410
Miranda,Miranda,Australia,2157495
Mill Park,Mill Park,Australia,2157635
Mildura,Mildura,Australia,2157698
Merrylands,Merrylands,Australia,2157995
Mernda,Mernda,Australia,2158051
Melbourne,Melbourne,Australia,2158177
Mascot,Mascot,Australia,2158538
Maryborough,Maryborough,Australia,2158562
Marrickville,Marrickville,Australia,2158626
Maroubra,Maroubra,Australia,2158651
Manly,Manly,Australia,2158867
Maitland,Maitland,Australia,2159045
Mackay,Mackay,Australia,2159220
Liverpool,Liverpool,Australia,2159851
Lilydale,Lilydale,Australia,2160188
Lidcombe,Lidcombe,Australia,2160258
Launceston,Launceston,Australia,2160517
Lara,Lara,Australia,2160560
Langwarrin,Langwarrin,Australia,2160582
Lalor,Lalor,Australia,2160706
Lakemba,Lakemba,Australia,2160744
Kogarah,Kogarah,Australia,2161185
Keysborough,Keysborough,Australia,2161532
Kew,Kew,Australia,2161540
Kensington,Kensington,Australia,2161608
Hornsby,Hornsby,Australia,2163137
Hobart,Hobart,Australia,2163355
Hawthorn South,Hawthorn South,Australia,2163776
Hawthorn,Hawthorn,Australia,2163782
Hampton Park,Hampton Park,Australia,2163990
Griffith,Griffith,Australia,2164422
Greenvale,Greenvale,Australia,2164495
Greensborough,Greensborough,Australia,2164515
Granville,Granville,Australia,2164691
Goulburn,Goulburn,Australia,2164837
Gold Coast,Gold Coast,Australia,2165087
Glen Waverley,Glen Waverley,Australia,2165171
Glenroy,Glenroy,Australia,2165200
Glen Iris,Glen Iris,Australia,2165290
Glenferrie,Glenferrie,Australia,2165329
Gladstone,Gladstone,Australia,2165478
Geelong,Geelong,Australia,2165798
Frankston East,Frankston East,Australia,2166143
Frankston,Frankston,Australia,2166144
Footscray,Footscray,Australia,2166370
Fairfield,Fairfield,Australia,2166952
Essendon,Essendon,Australia,2167208
Epping,Epping,Australia,2167279
Epping,Epping,Australia,2167280
Engadine,Engadine,Australia,2167312
Eltham,Eltham,Australia,2167445
Eight Mile Plains,Eight Mile Plains,Australia,2167651
Eastwood,Eastwood,Australia,2167840
Earlwood,Earlwood,Australia,2167949
Dubbo,Dubbo,Australia,2168305
Doreen,Doreen,Australia,2168537
Doncaster East,Doncaster East,Australia,2168605
Doncaster,Doncaster,Australia,2168607
Deer Park,Deer Park,Australia,2169145
Deception Bay,Deception Bay,Australia,2169220
Dandenong,Dandenong,Australia,2169460
Croydon,Croydon,Australia,2169867
Cronulla,Cronulla,Australia,2169956
Cranbourne,Cranbourne,Australia,2170079
Craigieburn,Craigieburn,Australia,2170089
Corio,Corio,Australia,2170307
Coorparoo,Coorparoo,Australia,2170435
Coogee,Coogee,Australia,2170697
Coffs Harbour,Coffs Harbour,Australia,2171085
Coburg,Coburg,Australia,2171168
Clayton,Clayton,Australia,2171400
Wollongong,Wollongong,Australia,2171507
Chatswood,Chatswood,Australia,2171707
Cessnock,Cessnock,Australia,2171845
Caulfield North,Caulfield North,Australia,2171945
Castle Hill,Castle Hill,Australia,2172111
Carrum Downs,Carrum Downs,Australia,2172191
Carnegie,Carnegie,Australia,2172264
Carlton,Carlton,Australia,2172293
Carlingford,Carlingford,Australia,2172303
Capalaba,Capalaba,Australia,2172434
Canberra,Canberra,Australia,2172517
Camberwell,Camberwell,Australia,2172686
Cairns,Cairns,Australia,2172797
Caboolture,Caboolture,Australia,2172832
Burwood,Burwood,Australia,2172995
Burnie,Burnie,Australia,2173125
Bundaberg,Bundaberg,Australia,2173323
Buderim,Buderim,Australia,2173605
Brunswick,Brunswick,Australia,2173741
Broken Hill,Broken Hill,Australia,2173911
Brisbane,Brisbane,Australia,2174003
Brighton,Brighton,Australia,2174039
Boronia,Boronia,Australia,2174580
Blacktown,Blacktown,Australia,2175411
Bexley,Bexley,Australia,2175974
Berwick,Berwick,Australia,2176031
Bentleigh East,Bentleigh East,Australia,2176122
Bentleigh,Bentleigh,Australia,2176123
Bendigo,Bendigo,Australia,2176187
Baulkham Hills,Baulkham Hills,Australia,2176592
Bathurst,Bathurst,Australia,2176632
